id;Edad;GENERO;NUMERO_HIJOS;PROFESION;SERVICIO;TIEMPO_PROPIETARIO;KILOMETRAJE_INSTALACION;EdadLicencia;RELACION_ASEGURADO;CILINDRAJE;CIUDAD;Min(Recorrido(Km));Min(Frenadas(Uni));Min(Arrancadas(Uni));Min(Aceleraciones(Uni));Min(ExcesoVelocidad(Min));Min(MaximaVelocidad(Km/h));Min(TiempoUso(Min));Min(UsoZona(Min));Min(FueraZona(Min));Min(Colision);Max(Recorrido(Km));Max(Frenadas(Uni));Max(Arrancadas(Uni));Max(Aceleraciones(Uni));Max(ExcesoVelocidad(Min));Max(MaximaVelocidad(Km/h));Max(TiempoUso(Min));Max(UsoZona(Min));Max(FueraZona(Min));Max(Colision);Mean(Recorrido(Km));Mean(Frenadas(Uni));Mean(Arrancadas(Uni));Mean(Aceleraciones(Uni));Mean(ExcesoVelocidad(Min));Mean(MaximaVelocidad(Km/h));Mean(TiempoUso(Min));Mean(UsoZona(Min));Mean(FueraZona(Min));Mean(Colision);MARCA;CLASE;TIPO;MODELO;SINIESTROS_2016;SINIESTROS_2017;SINIESTROS_2018
43665400;72.38;Masculino;4;Medico;Particular;5;0;55.18;Asegurado;2300;BOGOTA;1;0;0;0;0;0;15;15;0;0;5;1;3;0;0;0;28;28;0;0;3;0.2;0.6;0;0;0;21.2;21.2;0;0;MERCEDES BENZ;AUTOMOVIL;230 E;1987;0;0;0
60342217;35.93;Masculino;0;Servicios de Informatica;Particular;7;0;9.15;Asegurado;1300;BOGOTA;1;0;0;0;0;0;4;0;4;0;59;2;0;10;1;99.9;60;0;60;0;9.36;0.08;0;1.08;0.02;1.94;28.09;0;28.09;0;RENAULT;AUTOMOVIL;R9;1992;0;0;0
16205257;81.04;Femenino;3;Odontologo;Particular;10;0;61.55;Asegurado;1800;BOGOTA;1;0;0;0;0;0;3;0;0;0;31;8;3;12;0;0;58;40;58;0;4.8;0.4;0.02;0.59;0;0;21.01;7.66;13.36;0;MERCEDES BENZ;AUTOMOVIL;C 240;1998;0;0;0
42188664;38.46;Femenino;0;Modista y Sastre;Publico;5;0;11.1;Conyugue;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;57;6;1;0;15;129.5;59;59;57;1;7.53;0.17;0.01;0;0.2;9.17;22.65;21.31;1.34;0.01;CHEVROLET;AUTOMOVIL;CORSA;2003;0;0;0
93966068;70.3;Masculino;0;Contador Publico;Particular;6;0;37.19;Asegurado;2000;BOGOTA;1;0;0;0;0;0;4;0;0;0;74;29;1;13;28;114.7;60;59;60;0;5.96;2.71;0;1.03;0.13;1.75;22.62;7.47;15.15;0;MAZDA;AUTOMOVIL;626;2003;0;0;0
45047436;40.54;Masculino;1;Ingeniero;Particular;4;0;10.17;Asegurado;1800;BOGOTA;1;0;0;0;0;0;4;0;0;0;67;7;2;0;5;129.5;57;57;56;0;9.62;0.12;0.03;0;0.09;7.76;26.65;22.89;3.77;0;TOYOTA;AUTOMOVIL;COROLLA [10];2005;0;0;2
67982293;45.75;Masculino;3;Ingeniero;Particular;2;0;24.4;Asegurado;1600;BOGOTA;1;0;0;0;0;0;5;0;0;0;55;2;0;15;11;125.8;60;45;60;0;13.15;0.15;0;2.22;0.98;19.97;27.24;15.39;11.85;0;KIA;CAMPERO;SORENTO;2004;0;0;0
1435441;54.08;Femenino;2;Odontologo;Particular;3;0;33.24;Asegurado;1300;BOGOTA;1;0;0;0;0;0;5;0;0;0;68;11;1;31;25;123.95;60;55;60;0;7.09;0.35;0.02;1.49;0.28;3.84;23.51;2.04;21.48;0;TOYOTA;AUTOMOVIL;COROLLA [10];2005;0;0;0
60464010;57.96;Masculino;2;Abogado;Particular;1;0;14;Asegurado;1300;BOGOTA;1;0;0;0;0;0;4;0;4;0;17;0;1;6;0;0;60;0;60;0;6.18;0;0.09;1.55;0;0;26.45;0;26.45;0;TOYOTA;AUTOMOVIL;COROLLA [10];2005;1;0;0
64243092;53.11;Femenino;2;Consultor-Negocios;Particular;3;0;13.66;Asegurado;1600;BOGOTA;1;0;0;0;0;0;4;0;0;0;73;6;4;8;28;118.4;60;41;60;0;13.13;0.09;0.03;1.25;0.87;8.68;29.93;1.96;27.97;0;RENAULT;AUTOMOVIL;LOGAN;2006;0;0;0
